SampleID,Location,SampleDate,SedimentType,GrainSize,TOC,Gravel,Silt_Clay,Solids,PFBA,PFPeA,PFBS,PFHxA,PFPeS,PFHpA,PFHxS,PFOA,6:2 FTS,PFHpS,PFNA,PFOS,PFDA,PFUnA,PFDoA,PFTrDA,PFTeDA,PFNS,PFDoS,4:2 FTS,8:2 FTS,FOSA,N-MeFOSA,N-MeFOSAA,N-EtFOSA,N-EtFOSAA,N-MeFOSE,N-EtFOSE,HFPO-DA,ADONA,PFMBA,NFDHA,9Cl-PF3ONS,11Cl-PF3OUdS,PFEESA,3:3 FTCA,5:3 FTCA,7:3 FTCA,PFDS,PFMPA,SumPFAS,log_PFBA,log_PFPeA,log_PFBS,log_PFHxA,log_PFPeS,log_PFHpA,log_PFHxS,log_PFOA,log_6:2 FTS,log_PFHpS,log_PFNA,log_PFOS,log_PFDA,log_PFUnA,log_PFDoA,log_PFTrDA,log_PFTeDA,log_PFNS,log_PFDoS,log_4:2 FTS,log_8:2 FTS,log_FOSA,log_N-MeFOSA,log_N-MeFOSAA,log_N-EtFOSA,log_N-EtFOSAA,log_N-MeFOSE,log_N-EtFOSE,log_HFPO-DA,log_ADONA,log_PFMBA,log_NFDHA,log_9Cl-PF3ONS,log_11Cl-PF3OUdS,log_PFEESA,log_3:3 FTCA,log_5:3 FTCA,log_7:3 FTCA,log_PFDS,log_PFMPA
WG037-SED-WEST-11102020,North,11/10/2020 0:00,Silt,0.678,6940,21.37,61.91,28.8,0.0625,0.0625,0.125,0.1267,0.1779,0.0625,0.4118,0.125,0.1275,0.057,0.125,3.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9324,-1.204119983,-1.204119983,-0.903089987,-0.897223385,-0.749824052,-1.204119983,-0.385313658,-0.903089987,-0.894489815,-1.244125144,-0.903089987,0.5402043,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG038-SED-SPILL-11102020,Spill,11/10/2020 0:00,Medium Sand,0.648,25800,9.45,10.48,74.8,0.1982,0.0625,0.5589,0.4703,0.4483,5.5127,2.9347,0.8301,4.2839,0.4568,0.45,35.8347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0411,-0.70289635,-1.204119983,-0.25266589,-0.327625021,-0.348431261,0.741364359,0.467563712,-0.080869586,0.631839324,-0.340273905,-0.346787486,1.554303773,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG039-SED-EAST-11102020,South,11/10/2020 0:00,Silt,0.199,11300,5.37,73.68,46.2,0.0625,0.0625,0.125,0.1283,0.1765,0.0625,0.5536,0.2537,0.1582,0.0317,0.125,6.0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7814,-1.204119983,-1.204119983,-0.903089987,-0.891773344,-0.75325529,-1.204119983,-0.256803919,-0.595679533,-0.800793521,-1.498940738,-0.903089987,0.781173533,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG040-SED-HEAD-11102020,Head,11/10/2020 0:00,Medium Sand,0.456,103000,2.32,7.97,74.6,0.1394,,0.6934,0.392,0.7471,2.3481,2.5737,0.6641,8.6865,0.6147,0.2452,32.7393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8435,-0.855737226,#NUM!,-0.159016163,-0.406713933,-0.126621264,0.370716589,0.410557923,-0.17776652,0.938844824,-0.211336787,-0.610479534,1.51506939,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
WG084-SED-WEST-06152021,NORTH,6/15/2021 12:00,,,,,,,0.2,0.1,0.0495,0.12,0.0495,0.09,0.36,0.21,0.395,0.0495,0.26,7.3,0.13,0.1,0.0495,0.0495,0.0495,0.063,0.0495,0.2,0.395,0.09,0.0495,0.0495,0.0495,0.0495,0.495,0.495,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.059,0.1,15.6565,-0.698970004,-1,-1.305394801,-0.920818754,-1.305394801,-1.045757491,-0.443697499,-0.677780705,-0.403402904,-1.305394801,-0.585026652,0.86332286,-0.886056648,-1,-1.305394801,-1.305394801,-1.305394801,-1.200659451,-1.305394801,-0.698970004,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-1.229147988,-1
WG085-SED-SPILL-06152021,SPILL,6/15/2021 12:00,,,,,,,0.2,0.1,0.0495,0.29,0.1,0.09,0.86,0.33,0.55,0.09,0.094,13,0.096,0.2,0.66,0.64,0.42,0.052,0.4,0.2,0.38,0.3,0.0495,0.0495,0.0495,0.0495,0.495,0.495,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.5,0.25,0.1,24.8395,-0.698970004,-1,-1.305394801,-0.537602002,-1,-1.045757491,-0.065501549,-0.48148606,-0.259637311,-1.045757491,-1.026872146,1.113943352,-1.017728767,-0.698970004,-0.180456064,-0.193820026,-0.37675071,-1.283996656,-0.397940009,-0.698970004,-0.420216403,-0.522878745,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.176091259,-0.602059991,-1
WG086-SED-EAST-06152021,SOUTH,6/15/2021 12:00,,,,,,,0.2,0.1,0.0495,0.09,0.0495,0.09,0.47,0.15,0.395,0.0495,0.0495,7.1,0.11,0.39,0.12,0.0495,0.0495,0.17,0.0495,0.2,0.61,0.95,0.0495,0.0495,0.0495,0.0495,0.495,0.495,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.38,0.1,17.1095,-0.698970004,-1,-1.305394801,-1.045757491,-1.305394801,-1.045757491,-0.327902142,-0.823908741,-0.403402904,-1.305394801,-1.305394801,0.851258349,-0.958607315,-0.408935393,-0.920818754,-1.305394801,-1.305394801,-0.769551079,-1.305394801,-0.698970004,-0.214670165,-0.022276395,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-0.420216403,-1
WG087-SED-HEAD-06152021,HEAD,6/15/2021 12:00,,,,,,,0.215,0.15,0.1,0.2,0.17,0.1,2.2,0.61,0.58,0.32,0.34,55,0.29,0.84,1.3,1.1,0.91,0.31,0.55,0.215,0.95,0.68,0.055,0.055,0.055,0.055,1.8,0.55,0.32,0.215,0.105,0.105,0.215,0.215,0.105,0.265,1.35,1.9,0.81,0.11,75.415,-0.66756154,-0.823908741,-1,-0.698970004,-0.769551079,-1,0.342422681,-0.214670165,-0.236572006,-0.494850022,-0.468521083,1.740362689,-0.537602002,-0.075720714,0.113943352,0.041392685,-0.040958608,-0.508638306,-0.259637311,-0.66756154,-0.022276395,-0.167491087,-1.259637311,-1.259637311,-1.259637311,-1.259637311,0.255272505,-0.259637311,-0.494850022,-0.66756154,-0.978810701,-0.978810701,-0.66756154,-0.66756154,-0.978810701,-0.576754126,0.130333768,0.278753601,-0.091514981,-0.958607315
WG096-SED-WEST-06302021,NORTH,6/30/2021 12:00,,,,,,,0.2,0.1,0.05,0.09,0.05,0.09,0.3,0.1,0.4,0.05,0.05,4,0.05,0.073,0.055,0.05,0.05,0.05,0.05,0.2,0.4,0.09,0.05,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.05,0.1,11.848,-0.698970004,-1,-1.301029996,-1.045757491,-1.301029996,-1.045757491,-0.522878745,-1,-0.397940009,-1.301029996,-1.301029996,0.602059991,-1.301029996,-1.13667714,-1.259637311,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-1.301029996,-1
WG097-SED-SPILL-06302021,SPILL,6/30/2021 12:00,,,,,,,0.2,0.1,0.069,0.28,0.079,0.09,1,0.39,0.87,0.12,0.14,20,0.099,0.19,0.58,0.68,0.48,0.085,0.47,0.2,0.62,0.43,0.05,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.1,1.3,0.37,0.1,32.692,-0.698970004,-1,-1.161150909,-0.552841969,-1.102372909,-1.045757491,0,-0.408935393,-0.060480747,-0.920818754,-0.853871964,1.301029996,-1.004364805,-0.721246399,-0.236572006,-0.167491087,-0.318758763,-1.070581074,-0.327902142,-0.698970004,-0.207608311,-0.366531544,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.041392685,0.113943352,-0.431798276,-1
WG098-SED-EAST-06302021,SOUTH,6/30/2021 12:00,,,,,,,0.2,0.1,0.05,0.09,0.05,0.09,0.41,0.2,0.4,0.05,0.058,6.8,0.091,0.38,0.11,0.05,0.05,0.18,0.05,0.2,0.49,0.92,0.059,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.47,0.1,16.748,-0.698970004,-1,-1.301029996,-1.045757491,-1.301029996,-1.045757491,-0.387216143,-0.698970004,-0.397940009,-1.301029996,-1.236572006,0.832508913,-1.040958608,-0.420216403,-0.958607315,-1.301029996,-1.301029996,-0.744727495,-1.301029996,-0.698970004,-0.30980392,-0.036212173,-1.229147988,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-0.327902142,-1
WG099-SED-HEAD-06302021,HEAD,6/30/2021 12:00,,,,,,,0.2,0.1,0.049,0.14,0.069,0.091,1.2,0.48,0.36,0.16,0.19,30,0.23,0.64,0.78,0.63,0.51,0.19,0.32,0.2,0.5,0.4,0.0495,0.0495,0.0495,0.0495,1.1,0.495,0.295,0.2,0.1,0.1,0.2,0.2,0.1,0.245,1.25,1.2,0.47,0.1,43.692,-0.698970004,-1,-1.30980392,-0.853871964,-1.161150909,-1.040958608,0.079181246,-0.318758763,-0.443697499,-0.795880017,-0.721246399,1.477121255,-0.638272164,-0.193820026,-0.107905397,-0.200659451,-0.292429824,-0.721246399,-0.494850022,-0.698970004,-0.301029996,-0.397940009,-1.305394801,-1.305394801,-1.305394801,-1.305394801,0.041392685,-0.305394801,-0.530177984,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.610833916,0.096910013,0.079181246,-0.327902142,-1
WG100-SED-WEST-07022021,NORTH,7/2/2021 12:00,,,,,,,0.195,0.1,0.0495,0.09,0.0495,0.09,0.28,0.12,0.395,0.0495,0.08,7.6,0.078,0.14,0.058,0.0495,0.0495,0.057,0.0495,0.195,0.395,0.09,0.0495,0.0495,0.0495,0.0495,0.495,0.495,0.295,0.195,0.1,0.1,0.195,0.195,0.1,0.245,1.25,1.25,0.074,0.1,15.547,-0.709965389,-1,-1.305394801,-1.045757491,-1.305394801,-1.045757491,-0.552841969,-0.920818754,-0.403402904,-1.305394801,-1.096910013,0.880813592,-1.107905397,-0.853871964,-1.236572006,-1.305394801,-1.305394801,-1.244125144,-1.305394801,-0.709965389,-0.403402904,-1.045757491,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.305394801,-0.305394801,-0.530177984,-0.709965389,-1,-1,-0.709965389,-0.709965389,-1,-0.610833916,0.096910013,0.096910013,-1.13076828,-1
WG101-SED-SPILL-07022021,SPILL,7/2/2021 12:00,,,,,,,0.2,0.1,0.0495,0.21,0.078,0.09,0.93,0.28,0.54,0.071,0.1,11,0.062,0.16,0.54,0.57,0.35,0.054,0.31,0.2,0.36,0.27,0.0495,0.0495,0.0495,0.0495,0.54,1.1,0.295,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1,0.28,0.1,22.4375,-0.698970004,-1,-1.305394801,-0.677780705,-1.107905397,-1.045757491,-0.031517051,-0.552841969,-0.26760624,-1.148741651,-1,1.041392685,-1.207608311,-0.795880017,-0.26760624,-0.244125144,-0.455931956,-1.26760624,-0.508638306,-0.698970004,-0.443697499,-0.568636236,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.26760624,0.041392685,-0.530177984,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0,-0.552841969,-1
WG102-SED-EAST-07022021,SOUTH,7/2/2021 12:00,,,,,,,0.2,0.1,0.05,0.092,0.05,0.09,0.67,0.21,0.4,0.052,0.14,9.8,0.27,0.38,0.1,0.05,0.05,0.28,0.05,0.2,0.82,1.7,0.05,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.47,0.1,21.474,-0.698970004,-1,-1.301029996,-1.036212173,-1.301029996,-1.045757491,-0.173925197,-0.677780705,-0.397940009,-1.283996656,-0.853871964,0.991226076,-0.568636236,-0.420216403,-1,-1.301029996,-1.301029996,-0.552841969,-1.301029996,-0.698970004,-0.086186148,0.230448921,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-0.327902142,-1
WG103-SED-HEAD-07022021,HEAD,7/2/2021 12:00,,,,,,,0.265,0.135,0.07,0.24,0.16,0.12,1.5,0.61,0.55,0.19,0.28,40,0.36,0.83,1.1,0.95,0.68,0.26,0.43,0.265,0.89,0.62,0.065,0.065,0.065,0.065,0.97,0.65,0.4,0.265,0.135,0.135,0.265,0.265,0.135,0.33,1.65,1.65,0.78,0.15,58.545,-0.576754126,-0.869666232,-1.15490196,-0.619788758,-0.795880017,-0.920818754,0.176091259,-0.214670165,-0.259637311,-0.721246399,-0.552841969,1.602059991,-0.443697499,-0.080921908,0.041392685,-0.022276395,-0.167491087,-0.585026652,-0.366531544,-0.576754126,-0.050609993,-0.207608311,-1.187086643,-1.187086643,-1.187086643,-1.187086643,-0.013228266,-0.187086643,-0.397940009,-0.576754126,-0.869666232,-0.869666232,-0.576754126,-0.576754126,-0.869666232,-0.48148606,0.217483944,0.217483944,-0.107905397,-0.823908741
WG108-SED-WEST-07082021,NORTH,7/8/2021 12:00,,,,,,,0.2,0.1,0.05,0.09,0.05,0.09,0.33,0.099,0.4,0.05,0.077,8.1,0.093,0.099,0.081,0.05,0.05,0.05,0.05,0.2,0.4,0.09,0.05,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.061,0.1,16.11,-0.698970004,-1,-1.301029996,-1.045757491,-1.301029996,-1.045757491,-0.48148606,-1.004364805,-0.397940009,-1.301029996,-1.113509275,0.908485019,-1.031517051,-1.004364805,-1.091514981,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.698970004,-0.397940009,-1.045757491,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-1.214670165,-1
WG109-SED-SPILL-07082021,SPILL,7/8/2021 12:00,,,,,,,0.2,0.1,0.051,0.27,0.084,0.09,0.93,0.34,0.62,0.099,0.094,15,0.06,0.22,0.67,0.55,0.39,0.063,0.38,0.2,0.4,0.23,0.05,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.4,0.1,26.691,-0.698970004,-1,-1.292429824,-0.568636236,-1.075720714,-1.045757491,-0.031517051,-0.468521083,-0.207608311,-1.004364805,-1.026872146,1.176091259,-1.22184875,-0.657577319,-0.173925197,-0.259637311,-0.408935393,-1.200659451,-0.420216403,-0.698970004,-0.397940009,-0.638272164,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-0.397940009,-1
WG110-SED-EAST-07082021,SOUTH,7/8/2021 12:00,,,,,,,0.2,0.1,0.05,0.09,0.05,0.09,0.24,0.13,0.4,0.05,0.05,6.2,0.05,0.26,0.23,0.076,0.05,0.075,0.05,0.2,0.4,0.14,0.05,0.05,0.05,0.05,0.5,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.51,0.1,14.941,-0.698970004,-1,-1.301029996,-1.045757491,-1.301029996,-1.045757491,-0.619788758,-0.886056648,-0.397940009,-1.301029996,-1.301029996,0.792391689,-1.301029996,-0.585026652,-0.638272164,-1.119186408,-1.301029996,-1.124938737,-1.301029996,-0.698970004,-0.397940009,-0.853871964,-1.301029996,-1.301029996,-1.301029996,-1.301029996,-0.301029996,-0.301029996,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-0.292429824,-1
WG111-SED-HEAD-07082021,HEAD,7/8/2021 12:00,,,,,,,0.315,0.155,0.08,0.24,0.32,0.14,3.7,0.77,0.65,0.67,0.34,77,0.3,0.67,0.93,0.77,0.55,0.27,0.33,0.315,0.56,0.42,0.08,0.08,0.08,1.5,1.1,0.83,0.47,0.315,0.155,0.155,0.315,0.315,0.155,0.39,1.95,1.95,0.67,0.155,100.16,-0.501689446,-0.809668302,-1.096910013,-0.619788758,-0.494850022,-0.853871964,0.568201724,-0.113509275,-0.187086643,-0.173925197,-0.468521083,1.886490725,-0.522878745,-0.173925197,-0.031517051,-0.113509275,-0.259637311,-0.568636236,-0.48148606,-0.501689446,-0.251811973,-0.37675071,-1.096910013,-1.096910013,-1.096910013,0.176091259,0.041392685,-0.080921908,-0.327902142,-0.501689446,-0.809668302,-0.809668302,-0.501689446,-0.501689446,-0.809668302,-0.408935393,0.290034611,0.290034611,-0.173925197,-0.809668302
WG116-SED-WEST-07132021,NORTH,7/13/2021 12:00,,,,,,,0.195,0.1,0.049,0.09,0.049,0.09,0.23,0.11,0.395,0.049,0.11,6.3,0.062,0.091,0.049,0.049,0.049,0.049,0.049,0.195,0.395,0.09,0.049,0.049,0.049,0.049,0.49,0.49,0.295,0.195,0.1,0.1,0.195,0.195,0.1,0.245,1.25,1.25,0.049,0.1,14.095,-0.709965389,-1,-1.30980392,-1.045757491,-1.30980392,-1.045757491,-0.638272164,-0.958607315,-0.403402904,-1.30980392,-0.958607315,0.799340549,-1.207608311,-1.040958608,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.709965389,-0.403402904,-1.045757491,-1.30980392,-1.30980392,-1.30980392,-1.30980392,-0.30980392,-0.30980392,-0.530177984,-0.709965389,-1,-1,-0.709965389,-0.709965389,-1,-0.610833916,0.096910013,0.096910013,-1.30980392,-1
WG117-SED-SPILL-07132021,SPILL,7/13/2021 12:00,,,,,,,0.2,0.1,0.0495,0.15,0.0495,0.09,0.57,0.27,0.43,0.0495,0.089,10,0.063,0.19,0.47,0.53,0.36,0.0495,0.28,0.2,0.4,0.29,0.0495,0.0495,0.0495,0.0495,0.495,0.495,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1.25,0.25,0.1,20.368,-0.698970004,-1,-1.305394801,-0.823908741,-1.305394801,-1.045757491,-0.244125144,-0.568636236,-0.366531544,-1.305394801,-1.050609993,1,-1.200659451,-0.721246399,-0.327902142,-0.27572413,-0.443697499,-1.305394801,-0.552841969,-0.698970004,-0.397940009,-0.537602002,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0.096910013,-0.602059991,-1
WG118-SED-EAST-07132021,SOUTH,7/13/2021 12:00,,,,,,,0.2,0.1,0.0495,0.092,0.053,0.09,0.8,0.21,0.52,0.059,0.17,9.6,0.48,0.47,0.12,0.0495,0.0495,0.31,0.0495,0.2,0.92,1.7,0.0495,0.0495,0.0495,0.0495,0.495,0.495,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1,0.45,0.1,21.73,-0.698970004,-1,-1.305394801,-1.036212173,-1.27572413,-1.045757491,-0.096910013,-0.677780705,-0.283996656,-1.229147988,-0.769551079,0.982271233,-0.318758763,-0.327902142,-0.920818754,-1.305394801,-1.305394801,-0.508638306,-1.305394801,-0.698970004,-0.036212173,0.230448921,-1.305394801,-1.305394801,-1.305394801,-1.305394801,-0.305394801,-0.305394801,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0,-0.346787486,-1
WG119-SED-HEAD-07132021,HEAD,7/13/2021 12:00,,,,,,,0.2,0.1,0.0495,0.12,0.082,0.09,1.1,0.39,0.4,0.1,0.21,29,0.28,0.6,0.81,0.65,0.49,0.2,0.3,0.2,0.5,0.38,0.0495,0.0495,0.0495,0.0495,2,0.495,0.3,0.2,0.1,0.1,0.2,0.2,0.1,0.25,1.25,1,0.58,0.1,43.3245,-0.698970004,-1,-1.305394801,-0.920818754,-1.086186148,-1.045757491,0.041392685,-0.408935393,-0.397940009,-1,-0.677780705,1.462397998,-0.552841969,-0.22184875,-0.091514981,-0.187086643,-0.30980392,-0.698970004,-0.522878745,-0.698970004,-0.301029996,-0.420216403,-1.305394801,-1.305394801,-1.305394801,-1.305394801,0.301029996,-0.305394801,-0.522878745,-0.698970004,-1,-1,-0.698970004,-0.698970004,-1,-0.602059991,0.096910013,0,-0.236572006,-1
